CSDUID,CSDNAME,full_time_medium_income,average_household_size,%_low_income,total_dwelling_count,dwelling_need_regular_or_minor_repair,dwelling_need_major_repair,%_in_core_housing_need_owner,%_in_core_housing_need_tenant
2468040,Saint-Jacques-le-Mineur,55200,2,7,705,675,35,3,0
2468045,Saint-Édouard,58000,3,8,515,470,40,0,0
2468050,Saint-Michel,60400,3,6,1260,1200,65,3,0
2468055,Saint-Rémi,52400,2,10,3685,3510,175,3,14
2469005,Havelock,41200,2,16,360,310,50,18,0
2469010,Franklin,42800,2,14,720,665,50,0,0
2469017,Saint-Chrysostome,46000,2,15,1105,1025,80,0,12
2469025,Howick,50800,3,12,340,295,45,0,0
2469030,Très-Saint-Sacrement,47600,3,10,470,420,50,0,0
2469037,Ormstown,42800,2,14,1710,1565,140,0,4
2469045,Hinchinbrooke,46400,2,17,1025,895,130,2,0
2469050,Elgin,55600,2,16,180,160,25,11,0
2469055,Huntingdon,46000,2,21,1205,1035,170,2,16
2469060,Godmanchester,41200,2,16,580,550,35,0,0
2469065,Sainte-Barbe,54400,2,11,730,705,30,0,0
2469070,Saint-Anicet,46400,2,14,1305,1210,100,0,17
2469075,Dundee,48000,2,20,160,145,15,0,0
2469802,Akwesasne,x,x,x,x,x,x,x,x
2470005,Saint-Urbain-Premier,56400,3,6,505,470,35,0,0
2470012,Sainte-Martine,55600,2,9,2405,2240,160,0,5
2470022,Beauharnois,54400,2,11,6295,5865,425,2,16
2470030,Saint-Étienne-de-Beauharnois,66000,3,7,420,400,25,0,0
2470035,Saint-Louis-de-Gonzague,56400,3,8,755,695,65,3,0
2470040,Saint-Stanislas-de-Kostka,50400,2,9,790,725,60,0,0
2470052,Salaberry-de-Valleyfield,52800,2,14,20070,18800,1275,1,9
2471005,Rivière-Beaudette,54800,3,9,1000,945,50,0,0
2471015,Saint-Télesphore,51200,2,20,320,295,20,0,0
2471020,Saint-Polycarpe,49200,2,10,1005,930,80,6,16
2471025,Saint-Zotique,59600,2,7,3990,3835,160,2,15
2471033,Les Coteaux,56400,2,7,2410,2325,90,2,8
2471040,Coteau-du-Lac,64500,3,6,2930,2825,105,1,15
2471045,Saint-Clet,54800,2,10,705,660,45,0,0
2471050,Les Cèdres,62800,3,6,2755,2575,180,2,15
2471055,Pointe-des-Cascades,62000,2,8,740,690,55,3,18
2471060,L'Île-Perrot,58800,2,10,5000,4725,275,2,17
2471065,Notre-Dame-de-l'Île-Perrot,73500,3,4,4070,3905,165,1,0
2471070,Pincourt,63200,3,6,5640,5360,275,2,16
2471075,Terrasse-Vaudreuil,58000,2,6,810,755,55,0,9
2471083,Vaudreuil-Dorion,60000,3,7,16710,16050,665,2,12
2471090,Vaudreuil-sur-le-Lac,87000,3,4,480,460,15,0,...
2471095,L'Île-Cadieux,x,2,x,60,55,0,0,...
2471100,Hudson,83000,2,9,2340,2155,180,5,17
2471105,Saint-Lazare,75500,3,4,7745,7410,340,2,15
2471110,Sainte-Marthe,53200,2,11,440,365,70,0,0
2471115,Sainte-Justine-de-Newton,42800,2,18,410,375,30,10,25
2471125,Très-Saint-Rédempteur,61600,3,6,380,335,45,9,...
2471133,Rigaud,60800,2,9,3335,3115,220,1,9
2471140,Pointe-Fortune,45200,2,14,230,210,25,0,0
2472005,Saint-Eustache,59200,2,8,18960,18115,840,2,19
2472010,Deux-Montagnes,60000,2,7,7265,6900,370,2,16
2472015,Sainte-Marthe-sur-le-Lac,66000,3,5,7500,7180,325,3,10
2472020,Pointe-Calumet,50400,2,9,2590,2440,150,1,17
2472025,Saint-Joseph-du-Lac,62400,3,7,2740,2670,75,3,13
2472032,Oka,59600,2,9,1615,1505,115,3,18
2472043,Saint-Placide,62400,2,14,780,720,60,6,22
2472802,Kanesatake,x,x,x,x,x,x,x,x
2473005,Boisbriand,62000,3,7,11425,10920,505,2,13
2473010,Sainte-Thérèse,55200,2,12,12685,11990,695,3,16
2473015,Blainville,70000,3,5,22425,21710,715,1,10
2473020,Rosemère,82000,3,5,5250,4990,255,2,13
2473025,Lorraine,83000,3,3,3395,3245,145,1,0
2473030,Bois-des-Filion,58000,2,8,4260,4050,210,2,16
2473035,Sainte-Anne-des-Plaines,51200,3,8,5885,5630,250,2,18
2474005,Mirabel,60400,3,7,24795,24150,645,2,11
2475005,Saint-Colomban,62800,3,6,6630,6375,255,2,10
2475017,Saint-Jérôme,52000,2,14,37375,35505,1870,3,21
2475028,Sainte-Sophie,53200,3,8,7210,6825,390,3,8
2475040,Prévost,66000,3,6,5535,5300,235,2,11
2475045,Saint-Hippolyte,56400,2,8,4685,4360,320,3,11
2476008,Saint-André-d'Argenteuil,48000,2,13,1400,1340,65,0,0
2476020,Lachute,48400,2,18,6530,6070,460,2,11
2476025,Gore,52000,2,12,1125,1000,120,4,21
2476030,Mille-Isles,63600,2,8,755,710,45,0,0
2476035,Wentworth,57600,2,12,305,280,25,0,0
2476043,Brownsburg-Chatham,52800,2,14,3280,3025,250,1,5
2476052,Grenville-sur-la-Rouge,52000,2,17,1375,1245,130,2,0
2476055,Grenville,49200,2,18,900,830,70,0,7
2476065,Harrington,46400,2,20,545,500,45,10,46
2477011,Estérel,x,2,13,140,115,15,0,...
2477012,Sainte-Marguerite-du-Lac-Masson,54000,2,15,1705,1580,130,2,12
2477022,Sainte-Adèle,59200,2,13,6895,6430,465,2,9
2477030,Piedmont,68000,2,9,1820,1690,130,4,15
2477035,Sainte-Anne-des-Lacs,72500,2,8,1795,1685,105,2,10
2477043,Saint-Sauveur,64000,2,11,5935,5615,320,3,22
2477050,Morin-Heights,78000,2,10,2210,2075,140,4,21
2477055,Lac-des-Seize-Îles,x,2,x,120,120,0,0,0
2477060,Wentworth-Nord,57600,2,18,875,800,70,0,0
2477065,Saint-Adolphe-d'Howard,54000,2,15,2040,1830,210,3,15
2478005,Val-Morin,49600,2,13,1485,1385,100,4,0
2478010,Val-David,57600,2,14,2665,2490,180,4,10
2478015,Lantier,44000,2,17,415,365,50,17,0
2478020,Sainte-Lucie-des-Laurentides,51600,2,15,685,630,55,6,21
2478032,Sainte-Agathe-des-Monts,48000,2,16,5515,5150,365,1,12
2478042,Ivry-sur-le-Lac,49200,2,12,220,210,10,0,0
2478047,Saint-Faustin--Lac-Carré,57200,2,11,1790,1635,160,2,7
2478050,Barkmere,x,2,x,30,30,0,0,...
2478055,Montcalm,65000,2,13,280,265,15,0,0
2478060,Arundel,50000,2,16,300,280,20,6,0
2478065,Huberdeau,36800,2,18,450,425,30,14,0
2478070,Amherst,48800,2,17,875,835,40,7,29
2478075,Brébeuf,40800,2,11,535,495,40,7,28
2478095,Lac-Supérieur,46400,2,13,1000,935,60,13,12
2478100,Val-des-Lacs,51600,2,15,395,340,55,10,0
2478102,Mont-Tremblant,55200,2,13,5405,5115,295,1,9
2478115,La Conception,53600,2,12,740,690,50,6,27
2478120,Labelle,44800,2,15,1360,1275,85,6,34
2478127,Lac-Tremblant-Nord,x,2,x,25,25,0,0,...
2478130,La Minerve,67000,2,17,765,730,35,5,43
2478802,Doncaster,x,x,x,x,x,x,x,x
2479005,Notre-Dame-du-Laus,56800,2,16,935,840,90,7,27
2479010,Notre-Dame-de-Pontmain,39600,2,18,390,360,30,12,0
2479015,Lac-du-Cerf,26000,2,20,285,255,30,16,0
2479022,Saint-Aimé-du-Lac-des-Îles,40800,2,13,370,340,30,13,0
2479025,Kiamika,48000,2,17,410,370,35,0,31
2479030,Nominingue,52000,2,18,1175,1115,65,9,20
2479037,Rivière-Rouge,46000,2,19,2330,2165,165,0,12
2479047,La Macaza,49200,2,16,510,455,50,10,0
2479050,L'Ascension,46000,2,21,490,420,70,15,0
2479060,Lac-Saguay,46800,2,13,255,235,15,0,0
2479065,Chute-Saint-Philippe,48800,2,19,515,480,35,8,0
2479078,Lac-des-Écorces,44400,2,16,1365,1265,100,2,6
2479088,Mont-Laurier,49200,2,16,6695,6245,455,0,9
2479097,Ferme-Neuve,46000,2,20,1275,1185,85,0,8
2479105,Lac-Saint-Paul,45200,2,22,265,255,15,0,0
2479110,Mont-Saint-Michel,37200,2,17,285,265,15,10,0
2479115,Sainte-Anne-du-Lac,48400,2,28,300,275,25,16,29
2479902,Lac-de-la-Pomme,x,x,x,x,x,x,x,x
2479904,Lac-Akonapwehikan,x,x,x,x,x,x,x,x
2479906,Lac-Wagwabika,x,x,x,x,x,x,x,x
2479910,Lac-Bazinet,x,x,x,x,x,x,x,x
2479912,Lac-De La Bidière,x,x,x,x,x,x,x,x
2479914,Lac-Oscar,x,x,x,x,x,x,x,x
2479916,Lac-de-la-Maison-de-Pierre,x,x,x,x,x,x,x,x
2479920,Baie-des-Chaloupes,x,x,x,x,x,x,x,x
2479922,Lac-Douaire,x,x,x,x,x,x,x,x
2479924,Lac-Ernest,x,x,x,x,x,x,x,x
2479926,Lac-Marguerite,x,x,x,x,x,x,x,x
2480005,Fassett,42400,2,18,255,245,15,17,0
2480010,Montebello,50000,2,15,465,445,15,9,14
2480015,Notre-Dame-de-Bonsecours,48000,2,11,135,110,25,0,0
2480020,Notre-Dame-de-la-Paix,42400,2,19,285,245,40,8,0
2480027,Saint-André-Avellin,45600,2,15,1615,1500,115,3,0
2480037,Papineauville,46800,2,15,1020,935,85,8,23
2480045,Plaisance,46400,2,14,505,455,50,6,0
2480050,Thurso,44000,2,14,1420,1315,115,2,16
2480055,Lochaber,43600,3,8,165,155,10,0,0
2480060,Lochaber-Partie-Ouest,57600,3,7,350,330,20,0,0
2480065,Mayo,72500,2,12,290,280,10,0,0
2480070,Saint-Sixte,50400,2,12,215,180,40,0,0
2480078,Ripon,52000,2,11,795,720,65,5,25
2480085,Mulgrave-et-Derry,67000,2,13,230,200,25,0,0
2480090,Montpellier,54400,2,16,590,515,75,16,26
2480095,Lac-Simon,58800,2,11,555,505,50,7,0
2480103,Chénéville,45600,2,22,480,425,55,19,28
2480110,Namur,30200,2,28,280,245,35,7,27
2480115,Boileau,73500,2,17,210,180,25,0,0
2480125,Saint-Émile-de-Suffolk,47600,2,24,245,205,40,14,0
2480130,Lac-des-Plages,44000,2,21,260,230,30,15,0
2480135,Duhamel,53600,2,15,315,285,25,0,0
2480140,Val-des-Bois,40800,2,16,495,460,35,5,17
2480145,Bowman,61600,2,14,335,310,20,9,0
2481017,Gatineau,66500,2,10,126475,119290,7185,2,12
2482005,L'Ange-Gardien,67500,3,5,2180,2045,125,2,10
2482010,Notre-Dame-de-la-Salette,53600,2,13,380,335,45,0,27
2482015,Val-des-Monts,65500,3,7,5350,5005,345,3,13
2482020,Cantley,78000,3,3,4110,3910,195,1,7
2482025,Chelsea,96000,3,4,3040,2780,265,2,14
2482030,Pontiac,69500,3,8,2380,2145,235,3,16
2482035,La Pêche,66000,2,10,3670,3360,315,3,15
2483005,Denholm,52400,2,12,275,235,35,0,0
2483010,Low,53200,2,14,495,445,50,0,0
2483015,Kazabazua,42000,2,19,480,415,65,18,0
2483020,Lac-Sainte-Marie,63600,2,13,385,345,45,8,0
2483032,Gracefield,58000,2,20,1130,1010,120,11,36
2483040,Cayamant,46400,2,20,415,355,65,11,24
2483045,Blue Sea,60800,2,16,370,335,30,8,0
2483050,Bouchette,32400,2,20,355,310,45,12,0
2483055,Sainte-Thérèse-de-la-Gatineau,60800,2,12,305,275,30,0,0
2483060,Messines,51600,2,14,785,745,40,5,19
2483065,Maniwaki,48400,2,23,1880,1730,150,2,9
2483070,Déléage,46400,2,17,870,805,65,6,13
2483075,Egan-Sud,60800,2,13,250,245,0,0,0
2483085,Bois-Franc,52000,2,10,215,180,30,0,0
2483088,Montcerf-Lytton,41600,2,18,285,260,25,19,0
2483090,Aumond,51200,2,17,340,300,40,7,0
2483095,Grand-Remous,47600,2,18,565,520,45,8,12
2483802,Kitigan Zibi,46800,2,33,580,450,130,...,...
2483804,Lac-Rapide,x,x,x,x,x,x,x,x
2483902,Lac-Pythonga,x,x,x,x,x,x,x,x
2483904,Cascades-Malignes,x,x,x,x,x,x,x,x
2483906,Lac-Lenôtre,x,x,x,x,x,x,x,x
2483908,Lac-Moselle,x,x,x,x,x,x,x,x
2483912,Dépôt-Échouani,x,x,x,x,x,x,x,x
2484005,Bristol,64500,2,15,530,450,85,7,0
2484010,Shawville,54800,2,19,750,635,115,9,30
2484015,Clarendon,52000,2,17,615,505,110,10,0
2484020,Portage-du-Fort,x,2,x,130,110,25,20,57
2484025,Bryson,51200,2,16,315,255,65,11,50
2484030,Campbell's Bay,46000,2,22,335,310,30,13,30
2484035,L'Île-du-Grand-Calumet,48800,2,18,330,285,45,0,0
2484040,Litchfield,50000,2,15,265,235,35,8,0
2484045,Thorne,56800,2,20,230,195,40,11,...
2484050,Alleyn-et-Cawood,x,2,x,120,100,20,0,0
2484055,Otter Lake,55600,2,28,475,405,75,17,18
2484060,Fort-Coulonge,42400,2,17,570,515,65,11,16
2484065,Mansfield-et-Pontefract,51200,3,12,880,805,75,6,18
2484070,Waltham,44400,2,25,180,145,30,0,0
2484082,L'Isle-aux-Allumettes,50400,2,15,620,565,60,7,23
2484090,Chichester,50800,2,21,170,125,50,17,...
2484095,Sheenboro,x,2,x,70,60,15,0,...
2484100,Rapides-des-Joachims,x,2,x,60,60,0,0,...
2484902,Lac-Nilgaut,x,x,x,x,x,x,x,x
2485005,Témiscaming,80000,2,11,1115,995,115,4,21
2485010,Kipawa,88000,2,12,160,140,25,13,...
2485015,Saint-Édouard-de-Fabre,53200,2,12,290,270,20,0,0
2485020,Béarn,51600,2,16,390,365,20,0,0
2485025,Ville-Marie,57200,2,16,1185,1140,45,0,4
2485030,Duhamel-Ouest,58000,2,6,395,355,40,9,0
2485037,Lorrainville,49200,2,12,570,510,60,8,32
2485045,Saint-Bruno-de-Guigues,52800,2,12,495,460,35,0,21
2485052,Laverlochère-Angliers,50800,2,15,440,410,30,6,0
2485055,Fugèreville,40800,2,16,175,150,25,0,...
2485060,Latulipe-et-Gaboury,32800,2,20,140,130,15,0,...
2485065,Belleterre,x,2,26,120,110,10,0,0
2485070,Laforce,36400,3,26,105,90,15,0,0
